x, y
 0.0000000, 0.0000000, 0.0000000
 0.2352320, 0.0023840, 0.0206135
 0.4610560, 0.0094720, 0.0425091
 0.6776640, 0.0211680, 0.0657719
 0.8852480, 0.0373760, 0.0904894
 1.0840000, 0.0580000, 0.1167506
 1.2741120, 0.0829440, 0.1446439
 1.4557760, 0.1121120, 0.1742557
 1.6291840, 0.1454080, 0.2056670
 1.7945280, 0.1827360, 0.2389508
 1.9520000, 0.2240000, 0.2741675
 2.1017920, 0.2691040, 0.3113600
 2.2440960, 0.3179520, 0.3505492
 2.3791040, 0.3704480, 0.3917271
 2.5070080, 0.4264960, 0.4348516
 2.6280000, 0.4860000, 0.4798405
 2.7422720, 0.5488640, 0.5265671
 2.8500160, 0.6149920, 0.5748567
 2.9514240, 0.6842880, 0.6244860
 3.0466880, 0.7566560, 0.6751849
 3.1360000, 0.8320000, 0.7266423
 3.2195520, 0.9102240, 0.7785141
 3.2975360, 0.9912320, 0.8304347
 3.3701440, 1.0749280, 0.8820303
 3.4375680, 1.1612160, 0.9329329
 3.5000000, 1.2500000, 0.9827937
 3.5576320, 1.3411840, 1.0312945
 3.6106560, 1.4346720, 1.0781568
 3.6592640, 1.5303680, 1.1231474
 3.7036480, 1.6281760, 1.1660804
 3.7440000, 1.7280000, 1.2068174
 3.7805120, 1.8297440, 1.2452637
 3.8133760, 1.9333120, 1.2813645
 3.8427840, 2.0386080, 1.3150985
 3.8689280, 2.1455360, 1.3464724
 3.8920000, 2.2540000, 1.3755149
 3.9121920, 2.3639040, 1.4022712
 3.9296960, 2.4751520, 1.4267978
 3.9447040, 2.5876480, 1.4491587
 3.9574080, 2.7012960, 1.4694216
 3.9680000, 2.8160000, 1.4876551
 3.9766720, 2.9316640, 1.5039264
 3.9836160, 3.0481920, 1.5182994
 3.9890240, 3.1654880, 1.5308339
 3.9930880, 3.2834560, 1.5415839
 3.9960000, 3.4020000, 1.5505971
 3.9979520, 3.5210240, 1.5579146
 3.9991360, 3.6404320, 1.5635704
 3.9997440, 3.7601280, 1.5675912
 3.9999680, 3.8800160, 1.5699960
 4.0000000, 4.0000000, 1.5707963
 4.0000320, 4.1199840, 1.5699960
 4.0002560, 4.2398720, 1.5675912
 4.0008640, 4.3595680, 1.5635704
 4.0020480, 4.4789760, 1.5579146
 4.0040000, 4.5980000, 1.5505971
 4.0069120, 4.7165440, 1.5415839
 4.0109760, 4.8345120, 1.5308339
 4.0163840, 4.9518080, 1.5182994
 4.0233280, 5.0683360, 1.5039264
 4.0320000, 5.1840000, 1.4876551
 4.0425920, 5.2987040, 1.4694216
 4.0552960, 5.4123520, 1.4491587
 4.0703040, 5.5248480, 1.4267978
 4.0878080, 5.6360960, 1.4022712
 4.1080000, 5.7460000, 1.3755149
 4.1310720, 5.8544640, 1.3464724
 4.1572160, 5.9613920, 1.3150985
 4.1866240, 6.0666880, 1.2813645
 4.2194880, 6.1702560, 1.2452637
 4.2560000, 6.2720000, 1.2068174
 4.2963520, 6.3718240, 1.1660804
 4.3407360, 6.4696320, 1.1231474
 4.3893440, 6.5653280, 1.0781568
 4.4423680, 6.6588160, 1.0312945
 4.5000000, 6.7500000, 0.9827937
 4.5624320, 6.8387840, 0.9329329
 4.6298560, 6.9250720, 0.8820303
 4.7024640, 7.0087680, 0.8304347
 4.7804480, 7.0897760, 0.7785141
 4.8640000, 7.1680000, 0.7266423
 4.9533120, 7.2433440, 0.6751849
 5.0485760, 7.3157120, 0.6244860
 5.1499840, 7.3850080, 0.5748567
 5.2577280, 7.4511360, 0.5265671
 5.3720000, 7.5140000, 0.4798405
 5.4929920, 7.5735040, 0.4348516
 5.6208960, 7.6295520, 0.3917271
 5.7559040, 7.6820480, 0.3505492
 5.8982080, 7.7308960, 0.3113600
 6.0480000, 7.7760000, 0.2741675
 6.2054720, 7.8172640, 0.2389508
 6.3708160, 7.8545920, 0.2056670
 6.5442240, 7.8878880, 0.1742557
 6.7258880, 7.9170560, 0.1446439
 6.9160000, 7.9420000, 0.1167506
 7.1147520, 7.9626240, 0.0904894
 7.3223360, 7.9788320, 0.0657719
 7.5389440, 7.9905280, 0.0425091
 7.7647680, 7.9976160, 0.0206135
 8.0000000, 8.0000000, 0.0000000
